店舗名,所在地区,住所（地名）,業種・カテゴリ,取扱品目
Charm,旧田辺地区,湊,小売（衣料）,婦人服小売
テーラー竹中,旧田辺地区,芳養松原,小売（衣料）,紳士服
トミゼン,旧田辺地区,湊,小売（衣料）,衣料品
富善呉服店,旧田辺地区,下屋敷町,小売（衣料）,呉服
（株）成美,旧田辺地区,神島台,小売（衣料）,着物
ブティックのあのあ＆ティールーム,旧田辺地区,湊,小売（衣料）,婦人服及び小物
ユニフォームショップ はいと,旧田辺地区,新庄町,小売（衣料）,各種学校制服
パーティハウス ダイエー田辺SC店,旧田辺地区,宝来町,小売（衣料）,婦人服
パーティハウス 田辺芳養店,旧田辺地区,芳養松原,小売（衣料）,婦人服
ニトリ 田辺バイパス店,旧田辺地区,新庄町,小売（衣料）,生活雑貨品
B.S.T,旧田辺地区,今福町,小売（衣料）,衣料品
ファッション・ド・コア,旧田辺地区,北新町,小売（衣料）,婦人服
Fimpen+Nul,旧田辺地区,湊,小売（衣料）,洋服
干長商店,旧田辺地区,栄町,小売（衣料）,婦人服
マックハウス パビリオンシティ田辺店,旧田辺地区,稲成町,小売（衣料）,カジュアルウェア
マルコ洋装店,旧田辺地区,栄町,小売（衣料）,学生服
丸三呉服店,旧田辺地区,北新町,小売（衣料）,着物
作業着専門店 マルミ,旧田辺地区,文里,小売（衣料）,作業服
Mix,旧田辺地区,湊,小売（衣料）,服
油信商店,旧田辺地区,北新町,小売（衣料）,靴下
婦人服 ユリヤ,旧田辺地区,栄町,小売（衣料）,婦人服
ラロデマロ 田辺店,旧田辺地区,稲成町,小売（衣料）,婦人衣料
レディス・ヌーボ,旧田辺地区,下屋敷町,小売（衣料）,婦人服・衣料全般
ロード,旧田辺地区,磯間,小売（衣料）,衣料品
LONDON GAME,旧田辺地区,湊,小売（衣料）,男性用カジュアルウェア
ワイズカンパニーギャル,旧田辺地区,南新町,小売（衣料）,衣料品
ワコールショップ ルック,旧田辺地区,湊,小売（衣料）,ワコール婦人下着
アートボード,旧田辺地区,東山,小売（その他）,印鑑
RSモーター,旧田辺地区,芳養松原,小売（その他）,自動車整備
田辺銀座 あいす,旧田辺地区,今福町,小売（その他）,節句人形
愛須専門店,旧田辺地区,北新町,小売（その他）,節句人形
アイス電器,旧田辺地区,上屋敷,小売（その他）,家電製品
（有）あおい書店,旧田辺地区,湊,小売（その他）,書籍
アサヒヤ模型,旧田辺地区,下屋敷町,小売（その他）,プラモデル
東農機具店,旧田辺地区,中芳養,小売（その他）,農機具
（有）アルミ屋,旧田辺地区,湊,小売（その他）,調理道具
＆GREEN PLANT,旧田辺地区,新庄町,小売（その他）,観葉植物・園芸雑貨
eh,旧田辺地区,たきない町,小売（その他）,布地販売
インテリアハウス イクロス,旧田辺地区,新庄町,小売（その他）,カーテン
糸秀商店,旧田辺地区,高雄,小売（その他）,化粧品
イナダマリン,旧田辺地区,天神崎,小売（その他）,船舶修理
稲豊畳店,旧田辺地区,下三栖,小売（その他）,畳製造販売
岩本電気産業（株）,旧田辺地区,高雄,小売（その他）,家電製品
WAY書店 TSUTAYA 田辺東山店,旧田辺地区,東山,小売（その他）,本
WAY書店 パビリオンシティ 田辺店,旧田辺地区,稲成町,小売（その他）,本
(有)ウエムラ薬局,旧田辺地区,東陽,小売（その他）,薬
エノモト時計店,旧田辺地区,湊,小売（その他）,眼鏡
FDたかはし,旧田辺地区,上万呂,小売（その他）,家電製品
FDフルヤデンキ,旧田辺地区,中芳養,小売（その他）,家電小売
エポック元町ＳＳ,旧田辺地区,上の山,小売（その他）,ガソリンスタンド
時計宝石エル,旧田辺地区,稲成町,小売（その他）,時計・宝石の販売
王朝寝具,旧田辺地区,高雄,小売（その他）,寝具類
（有）大川,旧田辺地区,栄町,小売（その他）,事務用品
大木原仏壇店,旧田辺地区,湊,小売（その他）,仏壇仏具
オートバックス 田辺店,旧田辺地区,新庄町,小売（その他）,カー用品販売
スポーツショップ オハナ,旧田辺地区,朝日ヶ丘,小売（その他）,アウトドア用品
確実園,旧田辺地区,新庄町,小売（その他）,観葉植物販売
花香園,旧田辺地区,東陽,小売（その他）,仏花・神花専門店
Gasta白浜,旧田辺地区,新庄町,小売（その他）,ガソリン・軽油・灯油
Gasta田辺,旧田辺地区,東山,小売（その他）,ガソリン・軽油・灯油
紀州備長炭記念公園 売店,旧田辺地区,秋津川,小売（その他）,炭製品
キタハバ電気店,旧田辺地区,今福町,小売（その他）,家電
コクピット きねいわ,旧田辺地区,新庄町,小売（その他）,タイヤ販売
cuillere,旧田辺地区,中芳養,小売（その他）,雑貨
切目屋調剤薬局,旧田辺地区,新万,小売（その他）,医薬品
スーパードラッグキリン 下万呂西店,旧田辺地区,下万呂,小売（その他）,薬・化粧品
スーパードラッグキリン 田辺東山店,旧田辺地区,東山,小売（その他）,薬・化粧品
スーパードラッグキリン 万呂店,旧田辺地区,下万呂,小売（その他）,薬・化粧品
靴のMATUYA 田辺店,旧田辺地区,稲成町,小売（その他）,靴
HAIR'S KURUKURU,旧田辺地区,新万,小売（その他）,美容室
KeLaLa,旧田辺地区,下屋敷町,小売（その他）,シルバーアクセサリー
ホームセンターコーナン 田辺店,旧田辺地区,下万呂,小売（その他）,日用消耗品
コーナンPRO 田辺店,旧田辺地区,下万呂,小売（その他）,建築資材・建築用品
コーベヤ靴店,旧田辺地区,栄町,小売（その他）,靴小物
ココカラファイン 高雄店,旧田辺地区,高雄,小売（その他）,医薬品
ココカラファイン 文里店,旧田辺地区,文里,小売（その他）,医薬品
ドラッグストアコスモス 明洋店,旧田辺地区,目良,小売（その他）,医薬品
cofuri 田辺店,旧田辺地区,稲成町,小売（その他）,雑貨
コメリパワー 田辺店,旧田辺地区,文里,小売（その他）,住生活関連商品
コンビニフィットネス田辺,旧田辺地区,末広町,小売（その他）,フィットネス
サイクルオートなか,旧田辺地区,高雄,小売（その他）,バイク・自転車修理・販売
